Fri Jul 31 17:32:35 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 14154, 'Left_wheel_dist': -1993, 'Right_wheel_dist': -2221, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.32}
{'Time': 14252, 'Left_wheel_dist': -1993, 'Right_wheel_dist': -2267, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.63}
{'Time': 14348, 'Left_wheel_dist': -1993, 'Right_wheel_dist': -2313, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.90}
{'Time': 14453, 'Left_wheel_dist': -1988, 'Right_wheel_dist': -2372, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.77}
{'Time': 14551, 'Left_wheel_dist': -1988, 'Right_wheel_dist': -2418, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.48}
{'Time': 14647, 'Left_wheel_dist': -2021, 'Right_wheel_dist': -2464, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.91}
{'Time': 14754, 'Left_wheel_dist': -2082, 'Right_wheel_dist': -2518, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.65}
{'Time': 14852, 'Left_wheel_dist': -2130, 'Right_wheel_dist': -2570, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.90}
{'Time': 14948, 'Left_wheel_dist': -2182, 'Right_wheel_dist': -2618, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.77}
{'Time': 15053, 'Left_wheel_dist': -2232, 'Right_wheel_dist': -2666, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.88}
{'Time': 15151, 'Left_wheel_dist': -2287, 'Right_wheel_dist': -2714, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.86}
{'Time': 15247, 'Left_wheel_dist': -2333, 'Right_wheel_dist': -2767, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.72}
{'Time': 15353, 'Left_wheel_dist': -2389, 'Right_wheel_dist': -2817, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.86}
{'Time': 15451, 'Left_wheel_dist': -2440, 'Right_wheel_dist': -2863, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.67}
{'Time': 15547, 'Left_wheel_dist': -2492, 'Right_wheel_dist': -2913, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.82}
{'Time': 15652, 'Left_wheel_dist': -2544, 'Right_wheel_dist': -2972, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.74}
{'Time': 15750, 'Left_wheel_dist': -2594, 'Right_wheel_dist': -3017, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89}
{'Time': 15847, 'Left_wheel_dist': -2645, 'Right_wheel_dist': -3061, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.82}
{'Time': 15954, 'Left_wheel_dist': -2699, 'Right_wheel_dist': -3116, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.80}
{'Time': 16052, 'Left_wheel_dist': -2747, 'Right_wheel_dist': -3168, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.48, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.83}
{'Time': 16149, 'Left_wheel_dist': -2797, 'Right_wheel_dist': -3214, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.80}
{'Time': 16254, 'Left_wheel_dist': -2854, 'Right_wheel_dist': -3264, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.88}
{'Time': 16351, 'Left_wheel_dist': -2902, 'Right_wheel_dist': -3316, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83}
{'Time': 16448, 'Left_wheel_dist': -2952, 'Right_wheel_dist': -3368, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.78}
{'Time': 16555, 'Left_wheel_dist': -3004, 'Right_wheel_dist': -3419, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.96}
{'Time': 16651, 'Left_wheel_dist': -3000, 'Right_wheel_dist': -3462, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.82}
{'Time': 16756, 'Left_wheel_dist': -3000, 'Right_wheel_dist': -3517, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.61}
{'Time': 16854, 'Left_wheel_dist': -2998, 'Right_wheel_dist': -3565, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.86}
{'Time': 16949, 'Left_wheel_dist': -2996, 'Right_wheel_dist': -3611, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.84}
{'Time': 17055, 'Left_wheel_dist': -2996, 'Right_wheel_dist': -3661, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.56}
{'Time': 17153, 'Left_wheel_dist': -3030, 'Right_wheel_dist': -3713, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.82}
{'Time': 17248, 'Left_wheel_dist': -3081, 'Right_wheel_dist': -3763, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.74}
{'Time': 17354, 'Left_wheel_dist': -3133, 'Right_wheel_dist': -3813, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80}
{'Time': 17452, 'Left_wheel_dist': -3185, 'Right_wheel_dist': -3859, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.88}
{'Time': 17548, 'Left_wheel_dist': -3235, 'Right_wheel_dist': -3907, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.69}
{'Time': 17654, 'Left_wheel_dist': -3292, 'Right_wheel_dist': -3964, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83}
{'Time': 17751, 'Left_wheel_dist': -3342, 'Right_wheel_dist': -4010, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.66}
{'Time': 17856, 'Left_wheel_dist': -3395, 'Right_wheel_dist': -4060, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78}
{'Time': 17953, 'Left_wheel_dist': -3447, 'Right_wheel_dist': -4112, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.87}
{'Time': 18051, 'Left_wheel_dist': -3495, 'Right_wheel_dist': -4164, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.66}
{'Time': 18157, 'Left_wheel_dist': -3552, 'Right_wheel_dist': -4215, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.79}
{'Time': 18254, 'Left_wheel_dist': -3600, 'Right_wheel_dist': -4260, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.77}
{'Time': 18351, 'Left_wheel_dist': -3654, 'Right_wheel_dist': -4308, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.78}
{'Time': 18456, 'Left_wheel_dist': -3704, 'Right_wheel_dist': -4363, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.77}
{'Time': 18553, 'Left_wheel_dist': -3757, 'Right_wheel_dist': -4409, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.85}
{'Time': 18651, 'Left_wheel_dist': -3802, 'Right_wheel_dist': -4454, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89}
{'Time': 18757, 'Left_wheel_dist': -3859, 'Right_wheel_dist': -4513, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.73}
{'Time': 18854, 'Left_wheel_dist': -3907, 'Right_wheel_dist': -4566, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.84}
{'Time': 18951, 'Left_wheel_dist': -3959, 'Right_wheel_dist': -4609, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.69}
{'Time': 19057, 'Left_wheel_dist': -4010, 'Right_wheel_dist': -4659, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.92}
{'Time': 19154, 'Left_wheel_dist': -4003, 'Right_wheel_dist': -4710, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.95}
{'Time': 19252, 'Left_wheel_dist': -4007, 'Right_wheel_dist': -4760, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.77}
{'Time': 19358, 'Left_wheel_dist': -3999, 'Right_wheel_dist': -4812, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.76}
{'Time': 19454, 'Left_wheel_dist': -3999, 'Right_wheel_dist': -4858, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.74}
{'Time': 19551, 'Left_wheel_dist': -3999, 'Right_wheel_dist': -4910, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.87}
