Fri Jul 31 19:32:53 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 13749, 'Left_wheel_dist': -1801, 'Right_wheel_dist': 2163, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 1.11, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 7.68}
{'Time': 13855, 'Left_wheel_dist': -1855, 'Right_wheel_dist': 2224, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 1.12, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 8.69}
{'Time': 13953, 'Left_wheel_dist': -1903, 'Right_wheel_dist': 2274, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 1.13, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.41}
{'Time': 14050, 'Left_wheel_dist': -1955, 'Right_wheel_dist': 2328, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 1.13, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 10.93}
{'Time': 14151, 'Left_wheel_dist': -1962, 'Right_wheel_dist': 2387, 'IMU_roll': 0.05, 'IMU_pitch': 0.10, 'IMU_yaw': 1.17, 'IMU_Acc_x': 2.62, 'IMU_Acc_y': 2.30, 'IMU_Acc_z': 13.12}
{'Time': 14253, 'Left_wheel_dist': -1969, 'Right_wheel_dist': 2442, 'IMU_roll': 0.11, 'IMU_pitch': 0.13, 'IMU_yaw': 1.24, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 1.20, 'IMU_Acc_z': 8.65}
{'Time': 14351, 'Left_wheel_dist': -1969, 'Right_wheel_dist': 2492, 'IMU_roll': 0.08, 'IMU_pitch': 0.09, 'IMU_yaw': 1.33, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 10.63}
{'Time': 14451, 'Left_wheel_dist': -1969, 'Right_wheel_dist': 2551, 'IMU_roll': 0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 1.41, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.75}
{'Time': 14551, 'Left_wheel_dist': -1969, 'Right_wheel_dist': 2605, 'IMU_roll': 0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 1.49, 'IMU_Acc_x': 0.83, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 10.84}
{'Time': 14656, 'Left_wheel_dist': -1995, 'Right_wheel_dist': 2658, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 1.54, 'IMU_Acc_x': -0.68, 'IMU_Acc_y': -1.26, 'IMU_Acc_z': 10.81}
{'Time': 14753, 'Left_wheel_dist': -2038, 'Right_wheel_dist': 2710, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 1.55, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 9.13}
{'Time': 14851, 'Left_wheel_dist': -2084, 'Right_wheel_dist': 2764, 'IMU_roll': -0.05, 'IMU_pitch': 0.03, 'IMU_yaw': 1.55, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 10.83}
{'Time': 14957, 'Left_wheel_dist': -2141, 'Right_wheel_dist': 2823, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 1.54, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.61}
{'Time': 15054, 'Left_wheel_dist': -2189, 'Right_wheel_dist': 2873, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 1.55, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 8.25}
{'Time': 15152, 'Left_wheel_dist': -2241, 'Right_wheel_dist': 2932, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.54, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 10.62}
{'Time': 15249, 'Left_wheel_dist': -2287, 'Right_wheel_dist': 2989, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.55, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 12.69}
{'Time': 15354, 'Left_wheel_dist': -2346, 'Right_wheel_dist': 3046, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 1.55, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 11.27}
{'Time': 15452, 'Left_wheel_dist': -2394, 'Right_wheel_dist': 3098, 'IMU_roll': 0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.55, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 8.96}
{'Time': 15558, 'Left_wheel_dist': -2453, 'Right_wheel_dist': 3159, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.56, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 14.99}
{'Time': 15655, 'Left_wheel_dist': -2501, 'Right_wheel_dist': 3211, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.57, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 5.43}
{'Time': 15753, 'Left_wheel_dist': -2551, 'Right_wheel_dist': 3264, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.58, 'IMU_Acc_x': 0.83, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 10.00}
{'Time': 15851, 'Left_wheel_dist': -2601, 'Right_wheel_dist': 3325, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.58, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 10.49}
{'Time': 15958, 'Left_wheel_dist': -2658, 'Right_wheel_dist': 3386, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 1.59, 'IMU_Acc_x': 0.80, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 13.16}
{'Time': 16053, 'Left_wheel_dist': -2703, 'Right_wheel_dist': 3436, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 1.59, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 8.37}
{'Time': 16151, 'Left_wheel_dist': -2756, 'Right_wheel_dist': 3488, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 11.25}
{'Time': 16258, 'Left_wheel_dist': -2810, 'Right_wheel_dist': 3549, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 7.84}
{'Time': 16354, 'Left_wheel_dist': -2860, 'Right_wheel_dist': 3602, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.53, 'IMU_Acc_z': 9.39}
{'Time': 16451, 'Left_wheel_dist': -2911, 'Right_wheel_dist': 3654, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 8.34}
{'Time': 16560, 'Left_wheel_dist': -2965, 'Right_wheel_dist': 3720, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 1.64, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 6.99}
{'Time': 16660, 'Left_wheel_dist': -2969, 'Right_wheel_dist': 3778, 'IMU_roll': 0.07, 'IMU_pitch': 0.11, 'IMU_yaw': 1.68, 'IMU_Acc_x': 2.20, 'IMU_Acc_y': 2.63, 'IMU_Acc_z': 10.07}
{'Time': 16760, 'Left_wheel_dist': -2976, 'Right_wheel_dist': 3831, 'IMU_roll': 0.14, 'IMU_pitch': 0.13, 'IMU_yaw': 1.77, 'IMU_Acc_x': 1.43, 'IMU_Acc_y': 1.60, 'IMU_Acc_z': 10.31}
{'Time': 16862, 'Left_wheel_dist': -2976, 'Right_wheel_dist': 3881, 'IMU_roll': 0.09, 'IMU_pitch': 0.10, 'IMU_yaw': 1.86, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 8.95}
{'Time': 16959, 'Left_wheel_dist': -2976, 'Right_wheel_dist': 3935, 'IMU_roll': 0.05, 'IMU_pitch': 0.09, 'IMU_yaw': 1.94, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 9.14}
{'Time': 17057, 'Left_wheel_dist': -2978, 'Right_wheel_dist': 3986, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 8.89}
{'Time': 17154, 'Left_wheel_dist': -3002, 'Right_wheel_dist': 4036, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 2.07, 'IMU_Acc_x': -0.90, 'IMU_Acc_y': -1.50, 'IMU_Acc_z': 9.00}
{'Time': 17260, 'Left_wheel_dist': -3046, 'Right_wheel_dist': 4099, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 2.06, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 17357, 'Left_wheel_dist': -3092, 'Right_wheel_dist': 4158, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 2.04, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 8.72}
{'Time': 17455, 'Left_wheel_dist': -3146, 'Right_wheel_dist': 4210, 'IMU_roll': 0.00, 'IMU_pitch': 0.06, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 7.10}
{'Time': 17551, 'Left_wheel_dist': -3198, 'Right_wheel_dist': 4260, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 14.53}
{'Time': 17656, 'Left_wheel_dist': -3255, 'Right_wheel_dist': 4321, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 2.01, 'IMU_Acc_x': 0.89, 'IMU_Acc_y': 0.28, 'IMU_Acc_z': 9.47}
{'Time': 17754, 'Left_wheel_dist': -3310, 'Right_wheel_dist': 4374, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.12}
{'Time': 17860, 'Left_wheel_dist': -3364, 'Right_wheel_dist': 4430, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.04}
{'Time': 17957, 'Left_wheel_dist': -3414, 'Right_wheel_dist': 4485, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 12.33}
{'Time': 18055, 'Left_wheel_dist': -3464, 'Right_wheel_dist': 4544, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 2.02, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 9.17}
