Fri Jul 31 17:39:25 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 12948, 'Left_wheel_dist': -1696, 'Right_wheel_dist': -1617, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.69}
{'Time': 13046, 'Left_wheel_dist': -1744, 'Right_wheel_dist': -1663, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.75}
{'Time': 13152, 'Left_wheel_dist': -1798, 'Right_wheel_dist': -1713, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.79}
{'Time': 13249, 'Left_wheel_dist': -1846, 'Right_wheel_dist': -1766, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.72}
{'Time': 13346, 'Left_wheel_dist': -1894, 'Right_wheel_dist': -1818, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.88}
{'Time': 13452, 'Left_wheel_dist': -1947, 'Right_wheel_dist': -1868, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.70}
{'Time': 13548, 'Left_wheel_dist': -1997, 'Right_wheel_dist': -1914, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.67}
{'Time': 13646, 'Left_wheel_dist': -2043, 'Right_wheel_dist': -1964, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79}
{'Time': 13752, 'Left_wheel_dist': -2099, 'Right_wheel_dist': -2019, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.67}
{'Time': 13849, 'Left_wheel_dist': -2147, 'Right_wheel_dist': -2064, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.83}
{'Time': 13946, 'Left_wheel_dist': -2200, 'Right_wheel_dist': -2110, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.75}
{'Time': 14053, 'Left_wheel_dist': -2250, 'Right_wheel_dist': -2171, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.73}
{'Time': 14149, 'Left_wheel_dist': -2300, 'Right_wheel_dist': -2219, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83}
{'Time': 14247, 'Left_wheel_dist': -2348, 'Right_wheel_dist': -2265, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.76}
{'Time': 14353, 'Left_wheel_dist': -2402, 'Right_wheel_dist': -2315, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.70}
{'Time': 14450, 'Left_wheel_dist': -2450, 'Right_wheel_dist': -2368, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.72}
{'Time': 14547, 'Left_wheel_dist': -2501, 'Right_wheel_dist': -2416, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.81}
{'Time': 14655, 'Left_wheel_dist': -2555, 'Right_wheel_dist': -2466, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.72}
{'Time': 14752, 'Left_wheel_dist': -2603, 'Right_wheel_dist': -2514, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.81}
{'Time': 14850, 'Left_wheel_dist': -2653, 'Right_wheel_dist': -2568, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.05, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.60}
{'Time': 14955, 'Left_wheel_dist': -2703, 'Right_wheel_dist': -2621, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.76}
{'Time': 15052, 'Left_wheel_dist': -2756, 'Right_wheel_dist': -2666, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.75}
{'Time': 15150, 'Left_wheel_dist': -2802, 'Right_wheel_dist': -2712, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.71}
{'Time': 15247, 'Left_wheel_dist': -2852, 'Right_wheel_dist': -2764, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.77}
{'Time': 15353, 'Left_wheel_dist': -2904, 'Right_wheel_dist': -2817, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.90}
{'Time': 15451, 'Left_wheel_dist': -2956, 'Right_wheel_dist': -2865, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.74}
{'Time': 15547, 'Left_wheel_dist': -3002, 'Right_wheel_dist': -2913, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.75}
