Fri Jul 31 19:29:51 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 14645, 'Left_wheel_dist': 2549, 'Right_wheel_dist': -2464, 'IMU_roll': 0.04, 'IMU_pitch': 0.17, 'IMU_yaw': 2.58, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 10.17}
{'Time': 14751, 'Left_wheel_dist': 2603, 'Right_wheel_dist': -2518, 'IMU_roll': 0.04, 'IMU_pitch': 0.15, 'IMU_yaw': 2.78, 'IMU_Acc_x': 1.48, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 10.77}
{'Time': 14848, 'Left_wheel_dist': 2649, 'Right_wheel_dist': -2566, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 2.96, 'IMU_Acc_x': 1.64, 'IMU_Acc_y': 0.67, 'IMU_Acc_z': 9.20}
{'Time': 14954, 'Left_wheel_dist': 2706, 'Right_wheel_dist': -2616, 'IMU_roll': 0.05, 'IMU_pitch': 0.14, 'IMU_yaw': 3.13, 'IMU_Acc_x': 1.30, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 11.22}
{'Time': 15051, 'Left_wheel_dist': 2749, 'Right_wheel_dist': -2660, 'IMU_roll': 0.08, 'IMU_pitch': 0.14, 'IMU_yaw': 3.30, 'IMU_Acc_x': 1.67, 'IMU_Acc_y': 1.36, 'IMU_Acc_z': 8.49}
{'Time': 15149, 'Left_wheel_dist': 2799, 'Right_wheel_dist': -2710, 'IMU_roll': 0.06, 'IMU_pitch': 0.12, 'IMU_yaw': 3.45, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 0.47, 'IMU_Acc_z': 11.01}
{'Time': 15246, 'Left_wheel_dist': 2847, 'Right_wheel_dist': -2760, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 3.60, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 11.76}
{'Time': 15352, 'Left_wheel_dist': 2904, 'Right_wheel_dist': -2806, 'IMU_roll': 0.04, 'IMU_pitch': 0.10, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.78, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 12.43}
{'Time': 15450, 'Left_wheel_dist': 2952, 'Right_wheel_dist': -2847, 'IMU_roll': 0.06, 'IMU_pitch': 0.11, 'IMU_yaw': 3.92, 'IMU_Acc_x': 1.03, 'IMU_Acc_y': 0.41, 'IMU_Acc_z': 9.40}
{'Time': 15546, 'Left_wheel_dist': 3006, 'Right_wheel_dist': -2893, 'IMU_roll': 0.07, 'IMU_pitch': 0.10, 'IMU_yaw': 4.08, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': 0.55, 'IMU_Acc_z': 7.48}
{'Time': 15652, 'Left_wheel_dist': 3061, 'Right_wheel_dist': -2943, 'IMU_roll': 0.07, 'IMU_pitch': 0.09, 'IMU_yaw': 4.23, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': 0.84, 'IMU_Acc_z': 7.76}
{'Time': 15750, 'Left_wheel_dist': 3113, 'Right_wheel_dist': -2987, 'IMU_roll': 0.05, 'IMU_pitch': 0.07, 'IMU_yaw': 4.37, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 10.52}
{'Time': 15846, 'Left_wheel_dist': 3161, 'Right_wheel_dist': -3030, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 4.51, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 5.74}
{'Time': 15952, 'Left_wheel_dist': 3216, 'Right_wheel_dist': -3083, 'IMU_roll': 0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.66, 'IMU_Acc_x': 1.02, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 12.12}
{'Time': 16049, 'Left_wheel_dist': 3264, 'Right_wheel_dist': -3131, 'IMU_roll': 0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 4.81, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 12.63}
{'Time': 16154, 'Left_wheel_dist': 3320, 'Right_wheel_dist': -3179, 'IMU_roll': 0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.97, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 12.83}
{'Time': 16251, 'Left_wheel_dist': 3371, 'Right_wheel_dist': -3225, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 5.12, 'IMU_Acc_x': 1.07, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 11.80}
{'Time': 16349, 'Left_wheel_dist': 3423, 'Right_wheel_dist': -3268, 'IMU_roll': 0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 5.26, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 5.20}
{'Time': 16455, 'Left_wheel_dist': 3480, 'Right_wheel_dist': -3323, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 5.42, 'IMU_Acc_x': 0.67, 'IMU_Acc_y': -1.35, 'IMU_Acc_z': 9.32}
{'Time': 16552, 'Left_wheel_dist': 3528, 'Right_wheel_dist': -3368, 'IMU_roll': -0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 5.58, 'IMU_Acc_x': 1.24, 'IMU_Acc_y': -0.27, 'IMU_Acc_z': 10.54}
{'Time': 16649, 'Left_wheel_dist': 3578, 'Right_wheel_dist': -3416, 'IMU_roll': 0.01, 'IMU_pitch': 0.10, 'IMU_yaw': 5.75, 'IMU_Acc_x': 0.81, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.52}
{'Time': 16754, 'Left_wheel_dist': 3630, 'Right_wheel_dist': -3471, 'IMU_roll': 0.01, 'IMU_pitch': 0.11, 'IMU_yaw': 5.93, 'IMU_Acc_x': 1.02, 'IMU_Acc_y': -0.76, 'IMU_Acc_z': 7.74}
{'Time': 16851, 'Left_wheel_dist': 3680, 'Right_wheel_dist': -3525, 'IMU_roll': -0.00, 'IMU_pitch': 0.12, 'IMU_yaw': 6.10, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 10.31}
{'Time': 16948, 'Left_wheel_dist': 3726, 'Right_wheel_dist': -3576, 'IMU_roll': 0.00, 'IMU_pitch': 0.13, 'IMU_yaw': 6.26, 'IMU_Acc_x': 1.24, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 6.63}
{'Time': 17055, 'Left_wheel_dist': 3783, 'Right_wheel_dist': -3628, 'IMU_roll': 0.02, 'IMU_pitch': 0.14, 'IMU_yaw': 0.17, 'IMU_Acc_x': 1.34, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 11.39}
{'Time': 17153, 'Left_wheel_dist': 3831, 'Right_wheel_dist': -3680, 'IMU_roll': 0.02, 'IMU_pitch': 0.15, 'IMU_yaw': 0.35, 'IMU_Acc_x': 1.47, 'IMU_Acc_y': -0.64, 'IMU_Acc_z': 8.73}
{'Time': 17248, 'Left_wheel_dist': 3881, 'Right_wheel_dist': -3733, 'IMU_roll': 0.03, 'IMU_pitch': 0.14, 'IMU_yaw': 0.53, 'IMU_Acc_x': 1.83, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.38}
{'Time': 17354, 'Left_wheel_dist': 3929, 'Right_wheel_dist': -3787, 'IMU_roll': 0.04, 'IMU_pitch': 0.15, 'IMU_yaw': 0.72, 'IMU_Acc_x': 1.78, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 12.24}
{'Time': 17452, 'Left_wheel_dist': 3979, 'Right_wheel_dist': -3839, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 0.90, 'IMU_Acc_x': 1.63, 'IMU_Acc_y': -0.77, 'IMU_Acc_z': 9.37}
{'Time': 17548, 'Left_wheel_dist': 4025, 'Right_wheel_dist': -3896, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 1.08, 'IMU_Acc_x': 1.91, 'IMU_Acc_y': -0.84, 'IMU_Acc_z': 9.60}
{'Time': 17654, 'Left_wheel_dist': 4077, 'Right_wheel_dist': -3955, 'IMU_roll': 0.03, 'IMU_pitch': 0.15, 'IMU_yaw': 1.28, 'IMU_Acc_x': 1.48, 'IMU_Acc_y': -0.49, 'IMU_Acc_z': 9.39}
{'Time': 17751, 'Left_wheel_dist': 4123, 'Right_wheel_dist': -4003, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 1.46, 'IMU_Acc_x': 1.85, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 10.40}
{'Time': 17856, 'Left_wheel_dist': 4177, 'Right_wheel_dist': -4060, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 1.64, 'IMU_Acc_x': 1.79, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.99}
{'Time': 17953, 'Left_wheel_dist': 4223, 'Right_wheel_dist': -4114, 'IMU_roll': 0.05, 'IMU_pitch': 0.18, 'IMU_yaw': 1.82, 'IMU_Acc_x': 2.03, 'IMU_Acc_y': 1.09, 'IMU_Acc_z': 8.47}
{'Time': 18051, 'Left_wheel_dist': 4273, 'Right_wheel_dist': -4164, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 1.98, 'IMU_Acc_x': 1.85, 'IMU_Acc_y': 0.49, 'IMU_Acc_z': 11.45}
{'Time': 18157, 'Left_wheel_dist': 4319, 'Right_wheel_dist': -4217, 'IMU_roll': 0.06, 'IMU_pitch': 0.18, 'IMU_yaw': 2.16, 'IMU_Acc_x': 2.13, 'IMU_Acc_y': 0.67, 'IMU_Acc_z': 9.69}
{'Time': 18254, 'Left_wheel_dist': 4367, 'Right_wheel_dist': -4269, 'IMU_roll': 0.04, 'IMU_pitch': 0.18, 'IMU_yaw': 2.32, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': -0.55, 'IMU_Acc_z': 8.96}
{'Time': 18351, 'Left_wheel_dist': 4413, 'Right_wheel_dist': -4321, 'IMU_roll': 0.03, 'IMU_pitch': 0.18, 'IMU_yaw': 2.46, 'IMU_Acc_x': 1.75, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 9.89}
{'Time': 18456, 'Left_wheel_dist': 4467, 'Right_wheel_dist': -4372, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 2.64, 'IMU_Acc_x': 1.16, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 10.26}
{'Time': 18553, 'Left_wheel_dist': 4513, 'Right_wheel_dist': -4415, 'IMU_roll': 0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 2.79, 'IMU_Acc_x': 1.57, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 8.89}
{'Time': 18651, 'Left_wheel_dist': 4563, 'Right_wheel_dist': -4463, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 2.97, 'IMU_Acc_x': 1.12, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 10.33}
{'Time': 18757, 'Left_wheel_dist': 4616, 'Right_wheel_dist': -4515, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 3.14, 'IMU_Acc_x': 1.27, 'IMU_Acc_y': 0.43, 'IMU_Acc_z': 10.97}
{'Time': 18854, 'Left_wheel_dist': 4666, 'Right_wheel_dist': -4559, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 3.31, 'IMU_Acc_x': 1.27, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 7.59}
{'Time': 18951, 'Left_wheel_dist': 4710, 'Right_wheel_dist': -4603, 'IMU_roll': 0.06, 'IMU_pitch': 0.13, 'IMU_yaw': 3.49, 'IMU_Acc_x': 1.16, 'IMU_Acc_y': 0.64, 'IMU_Acc_z': 9.64}
{'Time': 19057, 'Left_wheel_dist': 4766, 'Right_wheel_dist': -4655, 'IMU_roll': 0.07, 'IMU_pitch': 0.11, 'IMU_yaw': 3.67, 'IMU_Acc_x': 0.88, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 14.08}
{'Time': 19154, 'Left_wheel_dist': 4812, 'Right_wheel_dist': -4705, 'IMU_roll': 0.08, 'IMU_pitch': 0.14, 'IMU_yaw': 3.80, 'IMU_Acc_x': 1.08, 'IMU_Acc_y': 0.59, 'IMU_Acc_z': 7.41}
{'Time': 19252, 'Left_wheel_dist': 4862, 'Right_wheel_dist': -4749, 'IMU_roll': 0.05, 'IMU_pitch': 0.11, 'IMU_yaw': 3.95, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 8.53}
{'Time': 19358, 'Left_wheel_dist': 4914, 'Right_wheel_dist': -4797, 'IMU_roll': 0.05, 'IMU_pitch': 0.10, 'IMU_yaw': 4.12, 'IMU_Acc_x': 1.25, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 12.03}
{'Time': 19456, 'Left_wheel_dist': 4967, 'Right_wheel_dist': -4840, 'IMU_roll': 0.05, 'IMU_pitch': 0.08, 'IMU_yaw': 4.26, 'IMU_Acc_x': 0.85, 'IMU_Acc_y': 0.32, 'IMU_Acc_z': 13.49}
{'Time': 19554, 'Left_wheel_dist': 5015, 'Right_wheel_dist': -4888, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 4.41, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 9.65}
