Fri Jul 31 17:31:23 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 16656, 'Left_wheel_dist': -3552, 'Right_wheel_dist': -3447, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.73}
{'Time': 16762, 'Left_wheel_dist': -3608, 'Right_wheel_dist': -3499, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.78}
{'Time': 16860, 'Left_wheel_dist': -3652, 'Right_wheel_dist': -3549, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.82}
{'Time': 16956, 'Left_wheel_dist': -3704, 'Right_wheel_dist': -3597, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.75}
{'Time': 17062, 'Left_wheel_dist': -3754, 'Right_wheel_dist': -3648, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.80}
{'Time': 17159, 'Left_wheel_dist': -3805, 'Right_wheel_dist': -3696, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.70}
{'Time': 17257, 'Left_wheel_dist': -3850, 'Right_wheel_dist': -3748, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.70}
{'Time': 17363, 'Left_wheel_dist': -3907, 'Right_wheel_dist': -3802, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.80}
{'Time': 17460, 'Left_wheel_dist': -3953, 'Right_wheel_dist': -3846, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.82}
{'Time': 17557, 'Left_wheel_dist': -4003, 'Right_wheel_dist': -3892, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.83}
{'Time': 17665, 'Left_wheel_dist': -4055, 'Right_wheel_dist': -3948, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.80}
{'Time': 17761, 'Left_wheel_dist': -4103, 'Right_wheel_dist': -3996, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.69}
{'Time': 17857, 'Left_wheel_dist': -4149, 'Right_wheel_dist': -4042, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.74}
{'Time': 17964, 'Left_wheel_dist': -4204, 'Right_wheel_dist': -4097, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.79}
{'Time': 18060, 'Left_wheel_dist': -4249, 'Right_wheel_dist': -4149, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.75}
{'Time': 18157, 'Left_wheel_dist': -4300, 'Right_wheel_dist': -4195, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.79}
{'Time': 18264, 'Left_wheel_dist': -4352, 'Right_wheel_dist': -4245, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.82}
{'Time': 18359, 'Left_wheel_dist': -4402, 'Right_wheel_dist': -4293, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78}
{'Time': 18465, 'Left_wheel_dist': -4454, 'Right_wheel_dist': -4350, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.73}
{'Time': 18563, 'Left_wheel_dist': -4502, 'Right_wheel_dist': -4396, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.69}
{'Time': 18659, 'Left_wheel_dist': -4550, 'Right_wheel_dist': -4441, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.69}
{'Time': 18765, 'Left_wheel_dist': -4603, 'Right_wheel_dist': -4498, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.88}
{'Time': 18862, 'Left_wheel_dist': -4651, 'Right_wheel_dist': -4550, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.85}
{'Time': 18957, 'Left_wheel_dist': -4699, 'Right_wheel_dist': -4594, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.72}
{'Time': 19063, 'Left_wheel_dist': -4753, 'Right_wheel_dist': -4644, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.85}
{'Time': 19161, 'Left_wheel_dist': -4801, 'Right_wheel_dist': -4694, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.71}
{'Time': 19258, 'Left_wheel_dist': -4849, 'Right_wheel_dist': -4744, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.75}
{'Time': 19363, 'Left_wheel_dist': -4901, 'Right_wheel_dist': -4795, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.82}
{'Time': 19460, 'Left_wheel_dist': -4949, 'Right_wheel_dist': -4840, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.76}
{'Time': 19566, 'Left_wheel_dist': -5000, 'Right_wheel_dist': -4897, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.97}
