Fri Jul 31 19:15:19 2020
Program 0: 10s Stillstand
{'Time': 15255, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.78}
{'Time': 15356, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.75}
{'Time': 15457, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 10.05}
{'Time': 15551, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 9.92}
{'Time': 15652, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.74}
{'Time': 15754, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.78}
{'Time': 15856, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.76}
{'Time': 15958, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 10.01}
{'Time': 16052, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.17}
{'Time': 16153, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.80}
{'Time': 16254, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.26, 'IMU_Acc_z': 9.67}
{'Time': 16356, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.75}
{'Time': 16457, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78}
{'Time': 16559, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.79}
{'Time': 16651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.73}
{'Time': 16752, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.87}
{'Time': 16854, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.78}
{'Time': 16955, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.76}
{'Time': 17057, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.76}
{'Time': 17159, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.78}
{'Time': 17252, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.80}
{'Time': 17353, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.78}
{'Time': 17455, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.02, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.79}
