Fri Jul 31 18:51:15 2020
Program 0: 10s Stillstand
{'Time': 12954, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.74}
{'Time': 13047, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.75}
{'Time': 13150, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.79}
{'Time': 13251, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.75}
{'Time': 13353, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.78}
{'Time': 13448, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 13549, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.11, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.76}
{'Time': 13651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 9.81}
{'Time': 13752, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.77}
{'Time': 13853, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.02, 'IMU_pitch': -0.02, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.77}
