Fri Jul 31 18:53:13 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 14050, 'Left_wheel_dist': -1953, 'Right_wheel_dist': -2132, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.99, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.76, 'IMU_Acc_z': 7.95}
{'Time': 14156, 'Left_wheel_dist': -1955, 'Right_wheel_dist': -2184, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 6.01, 'IMU_Acc_x': 1.54, 'IMU_Acc_y': 1.74, 'IMU_Acc_z': -0.35}
{'Time': 14254, 'Left_wheel_dist': -1962, 'Right_wheel_dist': -2230, 'IMU_roll': 0.09, 'IMU_pitch': 0.08, 'IMU_yaw': 6.06, 'IMU_Acc_x': 1.58, 'IMU_Acc_y': 2.89, 'IMU_Acc_z': 12.25}
{'Time': 14349, 'Left_wheel_dist': -1955, 'Right_wheel_dist': -2272, 'IMU_roll': 0.08, 'IMU_pitch': 0.07, 'IMU_yaw': 6.14, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 10.42}
{'Time': 14454, 'Left_wheel_dist': -1955, 'Right_wheel_dist': -2324, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 10.88}
{'Time': 14551, 'Left_wheel_dist': -1955, 'Right_wheel_dist': -2372, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 0.02, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 8.79}
{'Time': 14657, 'Left_wheel_dist': -1982, 'Right_wheel_dist': -2422, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 0.07, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': -1.13, 'IMU_Acc_z': 7.66}
{'Time': 14754, 'Left_wheel_dist': -2023, 'Right_wheel_dist': -2472, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 0.09, 'IMU_Acc_x': -1.05, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.78}
{'Time': 14852, 'Left_wheel_dist': -2069, 'Right_wheel_dist': -2529, 'IMU_roll': -0.05, 'IMU_pitch': -0.00, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 6.45}
{'Time': 14958, 'Left_wheel_dist': -2126, 'Right_wheel_dist': -2583, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 8.52}
{'Time': 15054, 'Left_wheel_dist': -2176, 'Right_wheel_dist': -2627, 'IMU_roll': -0.05, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.60, 'IMU_Acc_z': -1.56}
{'Time': 15151, 'Left_wheel_dist': -2230, 'Right_wheel_dist': -2675, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.14, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 5.29}
{'Time': 15257, 'Left_wheel_dist': -2285, 'Right_wheel_dist': -2732, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 6.50}
{'Time': 15354, 'Left_wheel_dist': -2339, 'Right_wheel_dist': -2778, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.98}
{'Time': 15452, 'Left_wheel_dist': -2387, 'Right_wheel_dist': -2826, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 17.85}
{'Time': 15558, 'Left_wheel_dist': -2444, 'Right_wheel_dist': -2884, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 0.09, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 3.99}
{'Time': 15654, 'Left_wheel_dist': -2492, 'Right_wheel_dist': -2935, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 8.62}
{'Time': 15752, 'Left_wheel_dist': -2546, 'Right_wheel_dist': -2983, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 0.11, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 12.04}
{'Time': 15859, 'Left_wheel_dist': -2601, 'Right_wheel_dist': -3035, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': -2.91}
{'Time': 15956, 'Left_wheel_dist': -2653, 'Right_wheel_dist': -3083, 'IMU_roll': -0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.07, 'IMU_Acc_y': -0.83, 'IMU_Acc_z': 18.87}
{'Time': 16053, 'Left_wheel_dist': -2701, 'Right_wheel_dist': -3133, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 7.90}
{'Time': 16159, 'Left_wheel_dist': -2756, 'Right_wheel_dist': -3185, 'IMU_roll': -0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 0.10, 'IMU_Acc_x': 1.94, 'IMU_Acc_y': -0.32, 'IMU_Acc_z': 19.70}
{'Time': 16257, 'Left_wheel_dist': -2806, 'Right_wheel_dist': -3233, 'IMU_roll': -0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.44, 'IMU_Acc_z': 4.45}
{'Time': 16352, 'Left_wheel_dist': -2854, 'Right_wheel_dist': -3286, 'IMU_roll': -0.04, 'IMU_pitch': 0.00, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': -0.39, 'IMU_Acc_z': 9.31}
{'Time': 16459, 'Left_wheel_dist': -2908, 'Right_wheel_dist': -3342, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 0.10, 'IMU_Acc_x': -0.60, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 5.62}
{'Time': 16557, 'Left_wheel_dist': -2956, 'Right_wheel_dist': -3388, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.09, 'IMU_Acc_x': -0.35, 'IMU_Acc_y': 1.06, 'IMU_Acc_z': 22.12}
{'Time': 16653, 'Left_wheel_dist': -2961, 'Right_wheel_dist': -3430, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.11, 'IMU_Acc_x': 1.86, 'IMU_Acc_y': 1.95, 'IMU_Acc_z': 13.52}
{'Time': 16759, 'Left_wheel_dist': -2965, 'Right_wheel_dist': -3484, 'IMU_roll': 0.08, 'IMU_pitch': 0.08, 'IMU_yaw': 0.17, 'IMU_Acc_x': 1.61, 'IMU_Acc_y': 2.69, 'IMU_Acc_z': 10.62}
{'Time': 16855, 'Left_wheel_dist': -2963, 'Right_wheel_dist': -3530, 'IMU_roll': 0.07, 'IMU_pitch': 0.07, 'IMU_yaw': 0.25, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 9.63}
{'Time': 16960, 'Left_wheel_dist': -2961, 'Right_wheel_dist': -3578, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.33, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 3.39}
{'Time': 17056, 'Left_wheel_dist': -2963, 'Right_wheel_dist': -3624, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 0.40, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 10.46}
{'Time': 17154, 'Left_wheel_dist': -2987, 'Right_wheel_dist': -3674, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 0.45, 'IMU_Acc_x': -1.01, 'IMU_Acc_y': -1.37, 'IMU_Acc_z': 12.13}
{'Time': 17260, 'Left_wheel_dist': -3033, 'Right_wheel_dist': -3730, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 0.48, 'IMU_Acc_x': -0.33, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 6.73}
{'Time': 17356, 'Left_wheel_dist': -3078, 'Right_wheel_dist': -3778, 'IMU_roll': -0.05, 'IMU_pitch': -0.00, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 13.47}
{'Time': 17454, 'Left_wheel_dist': -3131, 'Right_wheel_dist': -3826, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 7.97}
{'Time': 17560, 'Left_wheel_dist': -3185, 'Right_wheel_dist': -3885, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.99}
{'Time': 17657, 'Left_wheel_dist': -3240, 'Right_wheel_dist': -3938, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 0.48, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 5.03}
{'Time': 17755, 'Left_wheel_dist': -3290, 'Right_wheel_dist': -3988, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 2.71, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 21.16}
{'Time': 17861, 'Left_wheel_dist': -3347, 'Right_wheel_dist': -4044, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': -3.37}
{'Time': 17958, 'Left_wheel_dist': -3399, 'Right_wheel_dist': -4097, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.56, 'IMU_Acc_z': 10.90}
{'Time': 18055, 'Left_wheel_dist': -3449, 'Right_wheel_dist': -4145, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.49, 'IMU_Acc_x': -0.60, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.00}
{'Time': 18161, 'Left_wheel_dist': -3504, 'Right_wheel_dist': -4193, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 0.49, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 7.57}
{'Time': 18258, 'Left_wheel_dist': -3552, 'Right_wheel_dist': -4236, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.48, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': 10.58}
{'Time': 18356, 'Left_wheel_dist': -3602, 'Right_wheel_dist': -4284, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 0.47, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 8.93}
{'Time': 18462, 'Left_wheel_dist': -3654, 'Right_wheel_dist': -4334, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 0.46, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 2.02}
{'Time': 18560, 'Left_wheel_dist': -3706, 'Right_wheel_dist': -4378, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.45, 'IMU_Acc_x': -0.34, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 6.31}
{'Time': 18656, 'Left_wheel_dist': -3754, 'Right_wheel_dist': -4424, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 0.45, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 6.99}
{'Time': 18761, 'Left_wheel_dist': -3811, 'Right_wheel_dist': -4478, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.44, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 10.20}
{'Time': 18859, 'Left_wheel_dist': -3861, 'Right_wheel_dist': -4526, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.44, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 7.09}
{'Time': 18955, 'Left_wheel_dist': -3911, 'Right_wheel_dist': -4572, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 0.43, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 5.90}
{'Time': 19061, 'Left_wheel_dist': -3962, 'Right_wheel_dist': -4624, 'IMU_roll': -0.02, 'IMU_pitch': -0.01, 'IMU_yaw': 0.43, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 8.20}
{'Time': 19159, 'Left_wheel_dist': -3966, 'Right_wheel_dist': -4675, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.45, 'IMU_Acc_x': 2.10, 'IMU_Acc_y': 2.87, 'IMU_Acc_z': 10.65}
{'Time': 19254, 'Left_wheel_dist': -3970, 'Right_wheel_dist': -4720, 'IMU_roll': 0.07, 'IMU_pitch': 0.07, 'IMU_yaw': 0.50, 'IMU_Acc_x': 1.69, 'IMU_Acc_y': 1.67, 'IMU_Acc_z': 9.23}
{'Time': 19359, 'Left_wheel_dist': -3966, 'Right_wheel_dist': -4766, 'IMU_roll': 0.08, 'IMU_pitch': 0.05, 'IMU_yaw': 0.60, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': -0.56, 'IMU_Acc_z': 9.97}
{'Time': 19456, 'Left_wheel_dist': -3964, 'Right_wheel_dist': -4812, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 0.68, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 12.18}
{'Time': 19562, 'Left_wheel_dist': -3962, 'Right_wheel_dist': -4869, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 0.76, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.90}
