Fri Jul 31 16:24:31 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 15865, 'Left_wheel_dist': -3170, 'Right_wheel_dist': -3070, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 15963, 'Left_wheel_dist': -3214, 'Right_wheel_dist': -3116, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.75}
{'Time': 16069, 'Left_wheel_dist': -3270, 'Right_wheel_dist': -3166, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.74}
{'Time': 16166, 'Left_wheel_dist': -3318, 'Right_wheel_dist': -3218, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.68}
{'Time': 16264, 'Left_wheel_dist': -3368, 'Right_wheel_dist': -3273, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.82}
{'Time': 16362, 'Left_wheel_dist': -3416, 'Right_wheel_dist': -3316, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83}
{'Time': 16468, 'Left_wheel_dist': -3469, 'Right_wheel_dist': -3366, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.78}
{'Time': 16564, 'Left_wheel_dist': -3515, 'Right_wheel_dist': -3416, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.79}
{'Time': 16662, 'Left_wheel_dist': -3565, 'Right_wheel_dist': -3467, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.21, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.77}
{'Time': 16769, 'Left_wheel_dist': -3615, 'Right_wheel_dist': -3517, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 16865, 'Left_wheel_dist': -3665, 'Right_wheel_dist': -3563, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.74}
{'Time': 16962, 'Left_wheel_dist': -3713, 'Right_wheel_dist': -3615, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.72}
{'Time': 17068, 'Left_wheel_dist': -3770, 'Right_wheel_dist': -3672, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.81}
{'Time': 17163, 'Left_wheel_dist': -3813, 'Right_wheel_dist': -3715, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.65}
{'Time': 17269, 'Left_wheel_dist': -3868, 'Right_wheel_dist': -3765, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 17367, 'Left_wheel_dist': -3916, 'Right_wheel_dist': -3813, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.79}
{'Time': 17463, 'Left_wheel_dist': -3964, 'Right_wheel_dist': -3863, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.67}
{'Time': 17568, 'Left_wheel_dist': -4016, 'Right_wheel_dist': -3914, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.75}
{'Time': 17666, 'Left_wheel_dist': -4066, 'Right_wheel_dist': -3964, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.73}
{'Time': 17762, 'Left_wheel_dist': -4114, 'Right_wheel_dist': -4016, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.75}
{'Time': 17868, 'Left_wheel_dist': -4169, 'Right_wheel_dist': -4073, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89}
{'Time': 17966, 'Left_wheel_dist': -4217, 'Right_wheel_dist': -4119, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.63}
{'Time': 18062, 'Left_wheel_dist': -4265, 'Right_wheel_dist': -4162, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.86}
{'Time': 18167, 'Left_wheel_dist': -4317, 'Right_wheel_dist': -4219, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.68}
{'Time': 18265, 'Left_wheel_dist': -4363, 'Right_wheel_dist': -4267, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.74}
{'Time': 18371, 'Left_wheel_dist': -4415, 'Right_wheel_dist': -4317, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.09, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.88}
{'Time': 18468, 'Left_wheel_dist': -4467, 'Right_wheel_dist': -4365, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.70}
{'Time': 18566, 'Left_wheel_dist': -4515, 'Right_wheel_dist': -4419, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.82}
{'Time': 18663, 'Left_wheel_dist': -4566, 'Right_wheel_dist': -4470, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.72}
{'Time': 18768, 'Left_wheel_dist': -4618, 'Right_wheel_dist': -4518, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.64}
{'Time': 18866, 'Left_wheel_dist': -4666, 'Right_wheel_dist': -4563, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.78}
{'Time': 18964, 'Left_wheel_dist': -4714, 'Right_wheel_dist': -4616, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.49, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.73}
{'Time': 19072, 'Left_wheel_dist': -4766, 'Right_wheel_dist': -4670, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.78}
{'Time': 19168, 'Left_wheel_dist': -4816, 'Right_wheel_dist': -4716, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.79}
{'Time': 19265, 'Left_wheel_dist': -4862, 'Right_wheel_dist': -4766, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.74}
{'Time': 19372, 'Left_wheel_dist': -4921, 'Right_wheel_dist': -4823, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.72}
{'Time': 19467, 'Left_wheel_dist': -4967, 'Right_wheel_dist': -4869, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.70}
{'Time': 19564, 'Left_wheel_dist': -5015, 'Right_wheel_dist': -4914, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.22}
