Fri Jul 31 18:50:35 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 12954, 'Left_wheel_dist': -1681, 'Right_wheel_dist': -1578, 'IMU_roll': -0.05, 'IMU_pitch': -0.01, 'IMU_yaw': 5.92, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 5.72}
{'Time': 13051, 'Left_wheel_dist': -1727, 'Right_wheel_dist': -1626, 'IMU_roll': -0.05, 'IMU_pitch': -0.02, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 8.03}
{'Time': 13149, 'Left_wheel_dist': -1777, 'Right_wheel_dist': -1676, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.76}
{'Time': 13247, 'Left_wheel_dist': -1827, 'Right_wheel_dist': -1727, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 5.91, 'IMU_Acc_x': 1.35, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 21.16}
{'Time': 13353, 'Left_wheel_dist': -1884, 'Right_wheel_dist': -1779, 'IMU_roll': -0.04, 'IMU_pitch': 0.00, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -0.48, 'IMU_Acc_z': 9.50}
{'Time': 13449, 'Left_wheel_dist': -1929, 'Right_wheel_dist': -1822, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 9.32}
{'Time': 13547, 'Left_wheel_dist': -1979, 'Right_wheel_dist': -1875, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 5.91, 'IMU_Acc_x': -0.37, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.54}
{'Time': 13654, 'Left_wheel_dist': -2032, 'Right_wheel_dist': -1927, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.62, 'IMU_Acc_y': -0.89, 'IMU_Acc_z': 16.67}
{'Time': 13750, 'Left_wheel_dist': -2080, 'Right_wheel_dist': -1975, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 7.17}
{'Time': 13847, 'Left_wheel_dist': -2126, 'Right_wheel_dist': -2023, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 10.23}
{'Time': 13954, 'Left_wheel_dist': -2182, 'Right_wheel_dist': -2082, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 5.87}
{'Time': 14049, 'Left_wheel_dist': -2230, 'Right_wheel_dist': -2130, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.90, 'IMU_Acc_x': -0.57, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 11.79}
{'Time': 14155, 'Left_wheel_dist': -2287, 'Right_wheel_dist': -2180, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.89, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 7.60}
{'Time': 14253, 'Left_wheel_dist': -2335, 'Right_wheel_dist': -2228, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.89, 'IMU_Acc_x': -0.26, 'IMU_Acc_y': -0.90, 'IMU_Acc_z': 14.51}
{'Time': 14349, 'Left_wheel_dist': -2383, 'Right_wheel_dist': -2278, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 7.64}
{'Time': 14455, 'Left_wheel_dist': -2435, 'Right_wheel_dist': -2328, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.45, 'IMU_Acc_z': 11.32}
{'Time': 14552, 'Left_wheel_dist': -2483, 'Right_wheel_dist': -2374, 'IMU_roll': -0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.47, 'IMU_Acc_z': 9.79}
{'Time': 14648, 'Left_wheel_dist': -2533, 'Right_wheel_dist': -2424, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.14, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': -0.61}
{'Time': 14754, 'Left_wheel_dist': -2586, 'Right_wheel_dist': -2483, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 11.34}
{'Time': 14852, 'Left_wheel_dist': -2638, 'Right_wheel_dist': -2531, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 8.49}
{'Time': 14948, 'Left_wheel_dist': -2686, 'Right_wheel_dist': -2577, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 1.25, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 17.56}
{'Time': 15053, 'Left_wheel_dist': -2740, 'Right_wheel_dist': -2629, 'IMU_roll': -0.05, 'IMU_pitch': 0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.33, 'IMU_Acc_y': -0.55, 'IMU_Acc_z': 3.11}
{'Time': 15151, 'Left_wheel_dist': -2788, 'Right_wheel_dist': -2682, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 11.34}
{'Time': 15248, 'Left_wheel_dist': -2836, 'Right_wheel_dist': -2727, 'IMU_roll': -0.04, 'IMU_pitch': 0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 10.65}
{'Time': 15354, 'Left_wheel_dist': -2889, 'Right_wheel_dist': -2780, 'IMU_roll': -0.04, 'IMU_pitch': 0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.75, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 22.13}
{'Time': 15452, 'Left_wheel_dist': -2937, 'Right_wheel_dist': -2832, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 8.25}
{'Time': 15548, 'Left_wheel_dist': -2985, 'Right_wheel_dist': -2884, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 7.87}
{'Time': 15653, 'Left_wheel_dist': -3039, 'Right_wheel_dist': -2935, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': 1.54, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 18.24}
{'Time': 15751, 'Left_wheel_dist': -3087, 'Right_wheel_dist': -2980, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 5.21}
{'Time': 15857, 'Left_wheel_dist': -3142, 'Right_wheel_dist': -3035, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 11.25}
{'Time': 15954, 'Left_wheel_dist': -3187, 'Right_wheel_dist': -3085, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.87, 'IMU_Acc_x': -0.21, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 7.58}
{'Time': 16052, 'Left_wheel_dist': -3240, 'Right_wheel_dist': -3131, 'IMU_roll': -0.04, 'IMU_pitch': 0.00, 'IMU_yaw': 5.86, 'IMU_Acc_x': -0.22, 'IMU_Acc_y': -0.40, 'IMU_Acc_z': 18.26}
{'Time': 16150, 'Left_wheel_dist': -3286, 'Right_wheel_dist': -3179, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.86, 'IMU_Acc_x': -0.29, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.64}
{'Time': 16257, 'Left_wheel_dist': -3342, 'Right_wheel_dist': -3238, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 5.86, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.00}
