Fri Jul 31 17:32:06 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 14951, 'Left_wheel_dist': 2727, 'Right_wheel_dist': -2616, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.78}
{'Time': 15057, 'Left_wheel_dist': 2782, 'Right_wheel_dist': -2666, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.77}
{'Time': 15155, 'Left_wheel_dist': 2828, 'Right_wheel_dist': -2714, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.06, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.81}
{'Time': 15260, 'Left_wheel_dist': 2884, 'Right_wheel_dist': -2771, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.78}
{'Time': 15357, 'Left_wheel_dist': 2930, 'Right_wheel_dist': -2821, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.69}
{'Time': 15455, 'Left_wheel_dist': 2983, 'Right_wheel_dist': -2867, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
{'Time': 15552, 'Left_wheel_dist': 3028, 'Right_wheel_dist': -2913, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.13, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.75}
{'Time': 15659, 'Left_wheel_dist': 3083, 'Right_wheel_dist': -2969, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.82}
{'Time': 15755, 'Left_wheel_dist': 3129, 'Right_wheel_dist': -3015, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.07, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.69}
{'Time': 15860, 'Left_wheel_dist': 3183, 'Right_wheel_dist': -3065, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.77}
{'Time': 15958, 'Left_wheel_dist': 3229, 'Right_wheel_dist': -3118, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.63}
{'Time': 16054, 'Left_wheel_dist': 3281, 'Right_wheel_dist': -3170, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.65}
{'Time': 16160, 'Left_wheel_dist': 3331, 'Right_wheel_dist': -3220, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.82}
{'Time': 16258, 'Left_wheel_dist': 3384, 'Right_wheel_dist': -3266, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.80}
{'Time': 16354, 'Left_wheel_dist': 3430, 'Right_wheel_dist': -3314, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.88}
{'Time': 16459, 'Left_wheel_dist': 3484, 'Right_wheel_dist': -3368, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.77}
{'Time': 16557, 'Left_wheel_dist': 3530, 'Right_wheel_dist': -3416, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.84}
{'Time': 16653, 'Left_wheel_dist': 3580, 'Right_wheel_dist': -3462, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.08, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.84}
