Fri Jul 31 17:33:17 2020
Program 3: 2s geradeaus bei 0.5m/s, 0.5s Drehung nach rechts bei +-0.5m/s, 4 Wiederholungen
{'Time': 15351, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.79}
{'Time': 15454, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.70}
{'Time': 15548, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.23, 'IMU_Acc_z': 9.85}
{'Time': 15650, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.11, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.74}
{'Time': 15753, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.78}
{'Time': 15857, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.79}
{'Time': 15952, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.74}
{'Time': 16055, 'Left_wheel_dist': -23, 'Right_wheel_dist': -34, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.97}
{'Time': 16150, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.08, 'IMU_Acc_z': 9.84}
{'Time': 16252, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.74}
{'Time': 16356, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.75}
{'Time': 16450, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.33, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.67}
{'Time': 16555, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 9.86}
{'Time': 16649, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 9.87}
{'Time': 16751, 'Left_wheel_dist': -23, 'Right_wheel_dist': -32, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 0.10, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.76}
