Fri Jul 31 19:11:54 2020
Program 2: 10s Rotieren auf der Stelle bei +-0.5m/s Radgeschwindigkeit
{'Time': 14155, 'Left_wheel_dist': 2285, 'Right_wheel_dist': 2232, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 0.04, 'IMU_Acc_x': 1.10, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 10.38}
{'Time': 14252, 'Left_wheel_dist': 2333, 'Right_wheel_dist': 2280, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 0.22, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.43}
{'Time': 14349, 'Left_wheel_dist': 2383, 'Right_wheel_dist': 2331, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 0.40, 'IMU_Acc_x': 1.49, 'IMU_Acc_y': -0.46, 'IMU_Acc_z': 10.46}
{'Time': 14455, 'Left_wheel_dist': 2435, 'Right_wheel_dist': 2392, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 0.59, 'IMU_Acc_x': 1.60, 'IMU_Acc_y': 0.44, 'IMU_Acc_z': 6.79}
{'Time': 14553, 'Left_wheel_dist': 2483, 'Right_wheel_dist': 2446, 'IMU_roll': 0.05, 'IMU_pitch': 0.13, 'IMU_yaw': 0.78, 'IMU_Acc_x': 2.01, 'IMU_Acc_y': -0.57, 'IMU_Acc_z': 10.41}
{'Time': 14649, 'Left_wheel_dist': 2529, 'Right_wheel_dist': 2496, 'IMU_roll': 0.04, 'IMU_pitch': 0.14, 'IMU_yaw': 0.97, 'IMU_Acc_x': 1.82, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.55}
{'Time': 14755, 'Left_wheel_dist': 2583, 'Right_wheel_dist': 2555, 'IMU_roll': 0.04, 'IMU_pitch': 0.13, 'IMU_yaw': 1.18, 'IMU_Acc_x': 1.65, 'IMU_Acc_y': -0.77, 'IMU_Acc_z': 11.95}
{'Time': 14852, 'Left_wheel_dist': 2629, 'Right_wheel_dist': 2612, 'IMU_roll': 0.05, 'IMU_pitch': 0.15, 'IMU_yaw': 1.36, 'IMU_Acc_x': 1.68, 'IMU_Acc_y': 0.33, 'IMU_Acc_z': 7.14}
{'Time': 14958, 'Left_wheel_dist': 2684, 'Right_wheel_dist': 2669, 'IMU_roll': 0.04, 'IMU_pitch': 0.16, 'IMU_yaw': 1.56, 'IMU_Acc_x': 1.49, 'IMU_Acc_y': -0.62, 'IMU_Acc_z': 11.22}
{'Time': 15055, 'Left_wheel_dist': 2732, 'Right_wheel_dist': 2723, 'IMU_roll': 0.03, 'IMU_pitch': 0.16, 'IMU_yaw': 1.74, 'IMU_Acc_x': 2.06, 'IMU_Acc_y': -0.54, 'IMU_Acc_z': 10.89}
{'Time': 15153, 'Left_wheel_dist': 2780, 'Right_wheel_dist': 2784, 'IMU_roll': 0.05, 'IMU_pitch': 0.17, 'IMU_yaw': 1.92, 'IMU_Acc_x': 2.03, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 8.40}
{'Time': 15249, 'Left_wheel_dist': 2826, 'Right_wheel_dist': 2841, 'IMU_roll': 0.06, 'IMU_pitch': 0.18, 'IMU_yaw': 2.08, 'IMU_Acc_x': 2.02, 'IMU_Acc_y': 1.02, 'IMU_Acc_z': 9.87}
