Fri Jul 31 19:14:37 2020
Program 1: 10s Geradeaus bei 0.5m/s
{'Time': 15954, 'Left_wheel_dist': -3192, 'Right_wheel_dist': -2481, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.83}
{'Time': 16052, 'Left_wheel_dist': -3242, 'Right_wheel_dist': -2566, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.40}
{'Time': 16159, 'Left_wheel_dist': -3294, 'Right_wheel_dist': -2575, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.95}
{'Time': 16257, 'Left_wheel_dist': -3342, 'Right_wheel_dist': -2623, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.86}
{'Time': 16353, 'Left_wheel_dist': -3392, 'Right_wheel_dist': -2675, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.82}
{'Time': 16459, 'Left_wheel_dist': -3445, 'Right_wheel_dist': -2730, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.82}
{'Time': 16556, 'Left_wheel_dist': -3497, 'Right_wheel_dist': -2784, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 1.60, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.83}
{'Time': 16653, 'Left_wheel_dist': -3545, 'Right_wheel_dist': -2834, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.80}
{'Time': 16760, 'Left_wheel_dist': -3600, 'Right_wheel_dist': -2893, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.87}
{'Time': 16858, 'Left_wheel_dist': -3645, 'Right_wheel_dist': -2945, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.61, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.41}
{'Time': 16955, 'Left_wheel_dist': -3696, 'Right_wheel_dist': -2976, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.52}
{'Time': 17053, 'Left_wheel_dist': -3744, 'Right_wheel_dist': -3028, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.69}
{'Time': 17161, 'Left_wheel_dist': -3800, 'Right_wheel_dist': -3085, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.07, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.83}
{'Time': 17259, 'Left_wheel_dist': -3848, 'Right_wheel_dist': -3135, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.62, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.75}
{'Time': 17357, 'Left_wheel_dist': -3901, 'Right_wheel_dist': -3190, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.74}
{'Time': 17456, 'Left_wheel_dist': -3946, 'Right_wheel_dist': -3249, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.75}
{'Time': 17553, 'Left_wheel_dist': -3999, 'Right_wheel_dist': -3299, 'IMU_roll': -0.01, 'IMU_pitch': -0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.03, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.85}
{'Time': 17659, 'Left_wheel_dist': -4049, 'Right_wheel_dist': -3351, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78}
{'Time': 17757, 'Left_wheel_dist': -4101, 'Right_wheel_dist': -3403, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.82}
{'Time': 17855, 'Left_wheel_dist': -4145, 'Right_wheel_dist': -3458, 'IMU_roll': -0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 1.63, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.12, 'IMU_Acc_z': 9.74}
